"CO_ISIC_CLASSE";"NO_ISIC_CLASSE";"NO_ISIC_CLASSE_ING";"NO_ISIC_CLASSE_ESP";"CO_ISIC_GRUPO";"NO_ISIC_GRUPO";"NO_ISIC_GRUPO_ING";"NO_ISIC_GRUPO_ESP";"CO_ISIC_DIVISAO";"NO_ISIC_DIVISAO";"NO_ISIC_DIVISAO_ING";"NO_ISIC_DIVISAO_ESP";"CO_ISIC_SECAO";"NO_ISIC_SECAO";"NO_ISIC_SECAO_ING";"NO_ISIC_SECAO_ESP"
"0510";"Mineração de Carvão";"Mining of hard coal";"Mineração de Carvão";"051";"Mineração de Carvão";"Mining of hard coal";"Mineração de Carvão";"05";"Mineração de carvão e lignito";"Mining of coal and lignite";"Mineração de carvão e lignito";"B";"Indústria Extrativa";"Mining and quarrying";"Indústria Extrativa"
"6120";"Atividades de telecomunicações sem fio";"Wireless telecommunications activities";"Atividades de telecomunicações sem fio";"612";"Atividades de telecomunicações sem fio";"Wireless telecommunications activities";"Atividades de telecomunicações sem fio";"61";"Telecomunicações";"Telecommunications";"Telecomunicações";"D";"Outros Produtos";"Other products";"Outros Produtos"
"6920";"Atividades de contabilidade, contabilidade e auditoria; consultoria tributária";"Accounting, bookkeeping and auditing activities; tax consultancy";"Atividades de contabilidade, contabilidade e auditoria; consultoria tributária";"692";"Atividades de contabilidade, contabilidade e auditoria; consultoria tributária";"Accounting, bookkeeping and auditing activities; tax consultancy";"Atividades de contabilidade, contabilidade e auditoria; consultoria tributária";"69";"Atividades jurídicas e contábeis";"Legal and accounting activities";"Atividades jurídicas e contábeis";"D";"Outros Produtos";"Other products";"Outros Produtos"
"0119";"Cultivo de outras culturas não perenes";"Growing of other non-perennial crops";"Cultivo de outras culturas não perenes";"011";"Cultivo de culturas não perenes";"Growing of non-perennial crops";"Cultivo de culturas não perenes";"01";"Produção vegetal, animal e caça";"Crop and animal production, hunting and related service activities";"Produção vegetal, animal e caça";"A";"Agropecuária";"Agriculture, forestry and fishing";"Agropecuária"
"0116";"Cultivo de culturas de fibra";"Growing of fibre crops";"Cultivo de culturas de fibra";"011";"Cultivo de culturas não perenes";"Growing of non-perennial crops";"Cultivo de culturas não perenes";"01";"Produção vegetal, animal e caça";"Crop and animal production, hunting and related service activities";"Produção vegetal, animal e caça";"A";"Agropecuária";"Agriculture, forestry and fishing";"Agropecuária"
"0115";"Cultivo de tabaco";"Growing of tobacco";"Cultivo de tabaco";"011";"Cultivo de culturas não perenes";"Growing of non-perennial crops";"Cultivo de culturas não perenes";"01";"Produção vegetal, animal e caça";"Crop and animal production, hunting and related service activities";"Produção vegetal, animal e caça";"A";"Agropecuária";"Agriculture, forestry and fishing";"Agropecuária"
"0114";"Cultivo de cana-de-açúcar";"Growing of sugar cane";"Cultivo de cana-de-açúcar";"011";"Cultivo de culturas não perenes";"Growing of non-perennial crops";"Cultivo de culturas não perenes";"01";"Produção vegetal, animal e caça";"Crop and animal production, hunting and related service activities";"Produção vegetal, animal e caça";"A";"Agropecuária";"Agriculture, forestry and fishing";"Agropecuária"
"0113";"Cultivo de hortaliças e melões, raízes e tubérculos";"Growing of vegetables and melons, roots and tubers";"Cultivo de hortaliças e melões, raízes e tubérculos";"011";"Cultivo de culturas não perenes";"Growing of non-perennial crops";"Cultivo de culturas não perenes";"01";"Produção vegetal, animal e caça";"Crop and animal production, hunting and related service activities";"Produção vegetal, animal e caça";"A";"Agropecuária";"Agriculture, forestry and fishing";"Agropecuária"
"0112";"Cultivo de arroz";"Growing of rice";"Cultivo de arroz";"011";"Cultivo de culturas não perenes";"Growing of non-perennial crops";"Cultivo de culturas não perenes";"01";"Produção vegetal, animal e caça";"Crop and animal production, hunting and related service activities";"Produção vegetal, animal e caça";"A";"Agropecuária";"Agriculture, forestry and fishing";"Agropecuária"
"0111";"Cultivo de cereais (exceto arroz), leguminosas e oleaginosas";"Growing of cereals (except rice), leguminous crops and oil seeds";"Cultivo de cereais (exceto arroz), leguminosas e oleaginosas";"011";"Cultivo de culturas não perenes";"Growing of non-perennial crops";"Cultivo de culturas não perenes";"01";"Produção vegetal, animal e caça";"Crop and animal production, hunting and related service activities";"Produção vegetal, animal e caça";"A";"Agropecuária";"Agriculture, forestry and fishing";"Agropecuária"
