date;cod_cliente;cliente_nome;alunos_ativos;total_em_recebiveis;total_conta_pagar;total_valor_cartao_credito_maquina;total_valor_cartao_credito_recorrencia
2020/01;1;ACADEMIA CLUB FITNESS CURITIBA;198;25934;1776;3284;3820
2020/01;3;18 PHD SPORTS - AV. MARINGÁ - PINHAIS 3;805;64419;75460;20624;27442
2020/01;4;LIVING FITNESS;256;23233;0;11120;3331
2020/01;5;04 PHD SPORTS - JOÃO NEGRÃO - CENTRO 5;433;44924;31844;2377;15956
2020/01;8;Associação Atlética Banco do Brasil;90;0;0;0;0
2020/01;10;ACADEMIA ONE;910;120121;99816;5333;75221
2020/01;11;UELFIT Academia;130;17738;0;0;0
2020/01;12;MEGA FITNESS;226;22207;0;5955;3341
2020/01;14;ENERGYN ACADEMIA;1288;136214;0;39523;53117
2020/01;15;Power Fit Academia;437;53447;0;170;75
2020/01;18;Academia 4Fitness;185;27485;;9633;2351
2020/01;21;ESPACO ATIVO;226;24025;;6036;0
2020/01;24;10 PHD SPORTS - ALTO DA XV 24;388;50148;;5876;33197
2020/01;27;The Factory Gym;382;66619;;38282;13107
2020/01;42;ACADEMIA FENIX;324;49614;;8450;0
2020/01;47;JF STRONG GYM;378;37051;;4096;0
2020/01;53;INFITINESS ACADEMIA;399;38933;;8795;13506
2020/01;54;HR STUDIO;59;15228;;0;10688
2020/01;58;World Gym;1059;171127;;133281;0
2020/01;59;Academia Oxygym;829;99174;;57316;4994
2020/01;63;ACADEMIA IMPACTO;111;9393;;975;0
2020/01;68;Ace Fit Club;415;36978;;11587;0
2020/01;78;ASSOCIACAO BUJIN DO KAN DE KARATE;0;0;;;
2020/01;79;CT MOVE TREINAMENTO FUNCIONAL;88;14370;;3625;6418
2020/01;81;BE BOLD HARDTRAINING;67;9949;;3969;1107
2020/01;82;CENTRO DE KRAV MAGA DO PARANA;165;34724;;2222;17013
2020/01;89;CrossFit SANJA;154;24744;;904;14857
2020/01;91;STRIKER'S HOUSE;264;21967;;1188;0
2020/01;93;AQUAFLEX ACADEMIA;830;83717;;36609;2292
2020/01;98;BRAVUS CLUB;267;52693;;5806;38487
2020/01;105;DMIX FITNESS 1;256;15445;;2563;850
2020/01;107;CENA;447;81845;;56330;0
2020/01;110;FIT COMPANY;1647;141913;;78381;0
2020/01;111;FIELD FITNESS;497;46432;;25128;2847
2020/01;112;CWB Defense;116;20169;;2087;13839
2020/01;119;FISIOMASTER JARDIM;475;166636;;72467;1636
2020/01;124;Galpão 898;75;16554;;6169;0
2020/01;125;SPACE GYM BACACHERI;789;76337;;54628;3591
2020/01;128;THE KING GYM;329;28598;;5749;7430
2020/01;129;LIFE TEAM;197;14978;;4811;139
2020/01;133;NARA GUEDES BRANDAO - ME;70;17040;;0;0
2020/01;134;ACADEMIA UP BY GURIK;339;27528;;9889;1652
2020/01;153;Fisiomaster Praia;420;98984;;40607;7287
2020/01;161;Esporte Clube XV de Novembro de Jaú;105;9100;;0;0
2020/01;163;CIA DO CORPO ACADEMIA;189;20650;;0;0
2020/01;166;Hama Pilates Sede;164;50239;;0;0
2020/01;171;Bio Aventura;350;39523;;9255;6923
2020/01;176;Torga Squash Fit;247;41170;;0;0
2020/01;177;Natural Done;88;20087;;0;12491
2020/01;179;CROSSFIT PORTAO;156;28222;;16603;8400
2020/01;181;06 PHD SPORTS - FILIPINAS - CAJURU 181;379;33573;;2610;19250
2020/01;190;Wah Lum Kung Fu Brasil;12;3766;;590;0
2020/01;200;Escola HidrosFera - Natação e Hidroginástica;732;100369;;0;0
2020/01;202;CF GALÁTICOS;50;10180;;7537;837
2020/01;204;Academia Thai Brasil;859;87273;;66857;5201
2020/01;221;SIMIONI TEAM;133;11501;;1488;0
2020/01;226;Academia Fênix;166;15778;;638;0
2020/01;227;BLACK BELT MMA SCHOOL;212;25293;;10858;525
2020/01;230;Xperience Sports Center;87;10094;;465;7246
2020/01;233;Academia Corpus;308;21497;;6485;55
2020/01;239;ZANELLA FITNESS;857;62188;;29385;0
2020/01;261;PARREIRAS SPORTS e COMMUNITY FIT;168;11374;;4360;0
2020/01;264;Training Tech Fitness Center;245;73056;;26671;11700
2020/01;266;SPORT COMPANY NATAÇÃO E GINASTICA S/C LTDA;164;17073;;2810;0
2020/01;269;GALLE PERSONAL STUDIO;23;5212;;0;0
2020/01;280;Academia Vip Fit;411;39126;;2894;18540
2020/01;290;CLÍNICA SENIOR GYM;106;28148;;23202;0
2020/01;297;Academia Workout Fit;164;15337;;1930;0
2020/01;299;Academia Movimentacao;1756;197593;;9546;127200
2020/01;300;Cross Roncador;179;30953;;7506;6798
2020/01;301;Academia Physical Life;402;33359;;7657;3659
2020/01;304;MUSCLE PLUS ACADEMIA;170;18941;;5067;0
2020/01;309;ACADEMIA LB ESPORTES;407;52499;;18761;895
2020/01;311;TopFlex Academia;192;13119;;1658;1929
2020/01;312;CHINA TEAM;59;7881;;347;1889
2020/01;313;Conquiste Saúde;494;50028;;392;32875
2020/01;323;Academia VIVA+;448;36380;;18556;163
2020/01;327;OMNI ACADEMIA;219;25546;;6339;14455
2020/01;329;IMPERIO FITNESS;105;7015;;213;0
2020/01;338;Academia Mbrasil;781;69577;;26040;1795
2020/01;341;StrongerFit;483;52380;;0;0
2020/01;342;ACADEMIA SHAPE;310;27228;;1906;16000
2020/01;349;BODY ONE FIT;336;36686;;5657;7723
2020/01;361;Cia da Forma;574;58994;;18305;5673
2020/01;373;UNDER PRESSURE;181;19289;;3704;2780
2020/01;378;Espaço Mov;32;22172;;0;0
2020/01;379;ACADEMIA CORPORYUM;545;40538;;7961;22008
2020/01;388;Academia Sparta fit;29;4189;;1898;0
2020/01;412;FIT COMPANY (FILIAL);783;64282;;35969;2885
2020/01;416;Bona Crossfit;275;46330;;2724;12425
2020/01;418;NATSU ACADEMIA;468;59183;;8018;0
2020/01;426;Greenfit Academia;291;23572;;2524;4929
2020/01;428;Via Água Club;345;74706;;13177;0
2020/01;431;Elton Marinato Studio Funcional;52;9026;;0;0
2020/01;432;PER4MANCE ACADEMIA;263;30218;;3872;0
2020/01;435;FORCE FITNESS;274;26395;;3232;0
2020/01;436;07 PHD SPORTS - PEDRO IVO - CENTRO 436;331;27650;;3088;12587
2020/01;439;Battlefield Gym;49;7265;;2969;2063
2020/01;447;CrossFit Lion's Fire;133;26155;;8934;10807
2020/01;450;Vitae Academia;310;24087;;7202;0
2020/01;451;Crossfit V6;245;55908;;35021;0
2020/01;452;EFFICIENCY GYM;403;41349;;10592;0
2020/01;453;09 PHD SPORTS - GUABIROTUBA 453;516;53655;;1870;44342
2020/01;454;UPLAY FITNESS - GUARAPUAVA;1424;119673;;76640;777
2020/01;458;FIVE ONE FITNESS;380;48865;;21632;8427
2020/01;463;Alliance Lago Norte;28;7323;;3804;0
2020/01;466;OnLife Funcional Fitness Clube;289;46771;;1402;9039
