nome_cliente;date;alunos_ativos;total_em_recibo_venda;total_em_recebiveis;total_valor_cartao_credito_maquina;total_valor_cartao_credito_recorrencia;total_conta_pagar
ACADEMIA CLUB FITNESS CURITIBA;2020/01;198;28456;25934;3284;3820;1776
18 PHD SPORTS - AV. MARINGÁ - PINHAIS 3;2020/01;805;51740;64419;20624;27442;75460
LIVING FITNESS;2020/01;256;27435;23233;11120;3331;0
04 PHD SPORTS - JOÃO NEGRÃO - CENTRO 5;2020/01;433;44639;44924;2377;15956;31844
Associação Atlética Banco do Brasil;2020/01;90;0;0;0;0;0
ACADEMIA ONE;2020/01;910;131855;120121;5333;75221;99816
UELFIT Academia;2020/01;130;17738;17738;0;0;0
MEGA FITNESS;2020/01;226;36632;22207;5955;3341;0
ENERGYN ACADEMIA;2020/01;1288;183407;136214;39523;53117;0
Power Fit Academia;2020/01;437;53297;53447;170;75;0
GO FITNESS;2020/01;1332;121946;109182;73026;0;0
Academia 4Fitness;2020/01;185;50846;27485;9633;2351;7547
ESPACO ATIVO;2020/01;226;22994;24025;6036;0;0
10 PHD SPORTS - ALTO DA XV 24;2020/01;388;51651;52161;5876;33197;39473
The Factory Gym;2020/01;382;155218;66619;38282;13107;0
ACADEMIA FENIX;2020/01;324;51811;49614;8450;0;0
JF STRONG GYM;2020/01;378;41687;37051;4096;0;0
INFITINESS ACADEMIA;2020/01;399;42354;38933;8795;13506;0
HR STUDIO;2020/01;59;15057;15228;0;10688;12276
World Gym;2020/01;1059;183401;171127;133281;0;163140
Academia Oxygym;2020/01;829;114882;102032;57316;4994;82241
ACADEMIA IMPACTO;2020/01;111;10020;9393;975;0;2039
Ace Fit Club;2020/01;415;43000;36978;11587;0;940
ASSOCIACAO BUJIN DO KAN DE KARATE;2020/01;0;0;0;;;
CT MOVE TREINAMENTO FUNCIONAL;2020/01;88;20229;15104;3625;6418;17544
BE BOLD HARDTRAINING;2020/01;67;14896;10707;3969;1107;9206
CENTRO DE KRAV MAGA DO PARANA;2020/01;165;33867;34794;2222;17013;36173
CrossFit SANJA;2020/01;154;32931;24744;904;14857;20854
STRIKER'S HOUSE;2020/01;264;23057;21967;1188;0;0
AQUAFLEX ACADEMIA;2020/01;830;131181;83717;36609;2292;0
BRAVUS CLUB;2020/01;267;57235;52693;5806;38487;0
DMIX FITNESS 1;2020/01;256;19341;15445;2563;850;0
CENA;2020/01;447;103050;81845;56330;0;41390
FIT COMPANY;2020/01;1647;256383;141913;78381;0;134401
FIELD FITNESS;2020/01;497;92189;46432;25128;2847;0
CWB Defense;2020/01;116;19335;20169;2087;13839;21656
FISIOMASTER JARDIM;2020/01;475;183972;166636;72467;1636;0
Galpão 898;2020/01;75;22093;16554;6169;0;1509
SPACE GYM BACACHERI;2020/01;789;85587;76337;54628;3591;0
THE KING GYM;2020/01;329;37313;28598;5749;7430;0
LIFE TEAM;2020/01;197;17483;14978;4811;139;0
NARA GUEDES BRANDAO - ME;2020/01;70;11295;17040;0;0;0
ACADEMIA UP BY GURIK;2020/01;339;27332;28471;9889;1652;80
Fisiomaster Praia;2020/01;420;127551;98984;40607;7287;0
Esporte Clube XV de Novembro de Jaú;2020/01;105;9100;9100;0;0;0
CIA DO CORPO ACADEMIA;2020/01;189;20650;20650;0;0;0
Hama Pilates Sede;2020/01;164;51059;50239;0;0;40940
Bio Aventura;2020/01;350;40509;41164;9255;6923;37048
Torga Squash Fit;2020/01;247;41244;41170;0;0;0
Natural Done;2020/01;88;19059;20087;0;12491;0
CROSSFIT PORTAO;2020/01;156;35735;28222;16603;8400;0
06 PHD SPORTS - FILIPINAS - CAJURU 181;2020/01;379;39857;34936;2610;19250;26464
Wah Lum Kung Fu Brasil;2020/01;12;5235;3766;590;0;0
Escola HidrosFera - Natação e Hidroginástica;2020/01;732;101850;133252;0;0;90204
CF GALÁTICOS;2020/01;50;11834;10180;7537;837;0
Academia Thai Brasil;2020/01;859;88504;87273;66857;5201;37821
SIMIONI TEAM;2020/01;133;13339;11501;1488;0;1435
Academia Fênix;2020/01;166;20380;15778;638;0;15186
BLACK BELT MMA SCHOOL;2020/01;212;26609;25293;10858;525;0
Xperience Sports Center;2020/01;87;11218;10094;465;7246;9890
Academia Corpus;2020/01;308;20411;21505;6485;55;3925
ZANELLA FITNESS;2020/01;857;132483;62188;29385;0;80964
PARREIRAS SPORTS e COMMUNITY FIT;2020/01;168;13262;11374;4360;0;0
Training Tech Fitness Center;2020/01;245;85036;73056;26671;11700;67699
SPORT COMPANY NATAÇÃO E GINASTICA S/C LTDA;2020/01;164;19377;17073;2810;0;0
GALLE PERSONAL STUDIO;2020/01;23;5212;5212;0;0;0
Academia Vip Fit;2020/01;411;46007;39126;2894;18540;3821
CLÍNICA SENIOR GYM;2020/01;106;30983;28148;23202;0;0
Academia Workout Fit;2020/01;164;14760;15337;1930;0;0
Academia Movimentacao;2020/01;1756;224864;197593;9546;127200;241953
Cross Roncador;2020/01;179;35848;30953;7506;6798;12637
Academia Physical Life;2020/01;402;42427;33607;7657;3659;11465
MUSCLE PLUS ACADEMIA;2020/01;170;22851;18941;5067;0;0
