"","index","id","value"
"1",jan 2022,"CORN.Close",16.55
"2",fev 2022,"CORN.Close",17.84
"3",mar 2022,"CORN.Close",17.43
"4",abr 2022,"CORN.Close",17.25
"5",mai 2022,"CORN.Close",17.77
"6",jun 2022,"CORN.Close",19.07
"7",jul 2022,"CORN.Close",19.2
"8",ago 2022,"CORN.Close",16.64
"9",set 2022,"CORN.Close",17.32
"10",out 2022,"CORN.Close",15.54
"11",nov 2022,"CORN.Close",15.97
"12",dez 2022,"CORN.Close",18.62
"13",jan 2023,"CORN.Close",16.93
"14",fev 2023,"CORN.Close",20.79
"15",mar 2023,"CORN.Close",19.27
"16",abr 2023,"CORN.Close",20.57
"17",mai 2023,"CORN.Close",25.1
"18",jun 2023,"CORN.Close",23.21
"19",jul 2023,"CORN.Close",20.94
"20",ago 2023,"CORN.Close",25
"21",set 2023,"CORN.Close",24.79
"22",out 2023,"CORN.Close",25.68
"23",nov 2023,"CORN.Close",21.96
"24",dez 2023,"CORN.Close",25.97
